month,year,time,route_id,weekdays_in_month,year_cent,gtfs,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,workers_16_over,median_earnings,emp_pop_ratio,log_upt,log_upt_avg,log_vrm,log_gas_price,log_perc_car,log_perc_taxicab,log_perc_wfh,log_perc_female,log_below_fpl,log_fpl_100_150,log_perc_renter_occupied,log_population,log_labor_part_rate,log_unemp_rate,log_perc_hshlds_noveh
1,2021,1,3,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2333.4862007930797,55126.69558600193,67.6587669373983,9.587022530124901,6.542500092401479,9.812891941665836,0.827240915040644,4.375873140351598,-0.19655817081623236,2.387833680825195,3.9042905270750654,1.5553737808002768,1.2654179417592062,3.9221674335372714,8.292941615330166,4.2403967424554345,0.9134981250544059,1.7288481103966171
1,2021,1,4,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2271.2097439723707,45929.67217253304,71.37611959231033,8.691554818527067,5.647032380803644,8.959009514988898,0.827240915040644,4.294246138041046,0.5112000696045329,2.8825391751933287,3.892235657115736,1.8610678307708552,1.6503100151996783,3.734813067382214,8.255236961948553,4.320341236943777,1.6213331903347354,2.2213953852456885
1,2021,1,6,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2186.042959327942,42928.625092740345,68.75300276085012,8.32810076392457,5.283578326201148,8.975268459796677,0.827240915040644,4.410901539197646,0.49419266828869773,2.1816035154491913,3.847216811253797,1.9200092582484214,1.7660784724098566,3.963500350570943,8.251721668360162,4.259190021771082,1.0375301173138294,1.764883304016752
1,2021,1,7,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2543.760096456753,54990.12686380521,67.63356132735576,9.058419204937207,6.013896767213785,8.665013016462478,0.827240915040644,4.1630182283076715,0.5601869717326357,2.710464319378897,3.9098772056299698,1.5114238200820542,1.3282954061511365,4.1196250596381025,8.368764682389745,4.234019211239423,0.7520957704269121,2.038688246399042
1,2021,1,8,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1847.0422007936172,44594.06185593164,63.76896131836604,8.937876578526037,5.8933541408026135,8.696058783236802,0.827240915040644,4.173729081161365,0.6647084449465062,2.3632399416822447,3.7272931359745614,2.1156076274046804,1.639610295216617,3.978926131980697,7.975787726753181,4.182366560105849,0.8149619379834729,2.2530224513184907
1,2021,1,9,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1785.4281324990013,42848.28981306716,64.96541707359565,8.126349665078402,5.081827227354979,7.808737430188252,0.827240915040644,4.293196996812898,-0.37888793749557054,2.6791729489343044,4.075815472232812,2.343037607083458,1.52732873894394,4.3503187375214605,8.072446746486502,4.243689348799536,1.8535967318567708,2.977459929211984
1,2021,1,14,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1789.5091738923827,34385.60979074148,57.9278818180487,8.193455524866325,5.148933087142902,8.504582003621032,0.827240915040644,4.420146206782776,-0.2243008880837381,2.114383235371659,4.002878669665795,2.201406056388771,2.2673949493426684,3.8252267628174677,8.315207200587125,4.152292216793736,2.193863986120298,2.57949393835838
1,2021,1,17,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2542.6771170022216,49434.92811535344,69.05592581837071,8.20656451454763,5.162042076824206,8.595593936421954,0.827240915040644,4.269815569999726,0.7329624917083206,2.576319206093754,3.904604576654464,2.0587688312558026,1.3882493022209905,3.887555306846634,8.35984014651081,4.2625760773630494,0.9877668178383436,1.991331317170599
1,2021,1,18,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1673.0599398480333,33396.64032444965,57.389330272730135,8.084901445304354,5.04037900758093,9.010291816278281,0.827240915040644,4.184985916604798,0.5497868685193904,2.1995718961093362,3.6671029647264124,2.3164724894885103,1.8887104539033244,4.048345389157303,8.021521617871791,4.099206043026196,1.4566528631395894,2.595606535566658
1,2021,1,19,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1793.3146889840716,35865.908592819214,60.56551144848294,8.791615237008477,5.747092799285054,8.806108003731914,0.827240915040644,4.2816708653865865,0.6219043967285461,2.2714394184422595,3.9869577036616124,2.5616893778308887,2.1271470380507025,4.178435938928425,8.133402545740651,4.167723584076278,1.8046279906055014,2.9393660454608113
1,2021,1,22,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1726.1592793803302,42998.142117954565,61.780170289776315,9.627418454382195,6.582896016658771,9.471577848009805,0.827240915040644,4.346353063734959,0.5382996525718164,2.1439057775509083,3.8411094251934688,2.3957074104319283,1.908802047993996,4.051915378115938,8.097775934934846,4.194538416266063,1.9493859083405634,2.676165625081101
1,2021,1,23,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2243.582800675634,33946.013440323964,65.15584829209797,9.696430172218223,6.6519077344948,9.603040351402138,0.827240915040644,4.41306305359573,0.23150465212000307,2.028087782787927,3.979888746449827,2.580097042039669,2.2894307488167533,3.9375554952206526,8.479507783494558,4.240550361149284,1.8141657237367474,2.5056849404942487
1,2021,1,28,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2295.068345965,42888.23271454032,67.50269578999381,7.610857740878046,4.566335303154624,8.145308883548513,0.827240915040644,4.3390982715892195,0.8643806158042846,2.425187725024535,3.8374077214219273,2.2798981408584695,2.085969204317714,4.042378740826995,8.378963355395392,4.264683138127183,1.5973677483499722,2.474527398219372
1,2021,1,29,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1659.154632958457,36797.26312039641,59.47372381730276,8.789515402854123,5.744992965130701,8.328888169343765,0.827240915040644,4.205900985724936,1.0245733050493204,2.071324121138728,3.938767718219421,2.789182782753798,2.2362341682123112,4.2773557042141395,8.120137623534776,4.137960425399793,1.679548879786885,3.202885137786932
1,2021,1,34,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2868.0172931448483,43053.76676868252,69.71757329190443,7.423389323740433,4.3788668860170095,8.906397472641645,0.827240915040644,4.406842853598494,0.323393779845563,2.4076626079128847,3.82649223356214,1.8860248095142165,1.6883852294429285,3.633493874133223,8.506476231733004,4.285431042691156,1.3594122166083447,2.1056045926269866
1,2021,1,41,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1830.9199106728877,33780.92102812672,60.214973364038414,NA,NA,NA,0.827240915040644,4.444361125551384,-0.23353548262804835,1.8130038650540699,4.020737248442609,2.387780722065349,2.033278698253931,3.7701912240726756,8.308809781735608,4.185104884309935,2.152285490307583,2.5730505125118803
1,2021,1,42,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1775.5811995140948,45372.74256463096,65.07937852862158,7.895890279909248,4.851367842185826,7.784997442885179,0.827240915040644,4.3014442899052545,0.3443141029258962,2.449845814359629,3.896187516775535,2.3430466974925097,1.752606567436467,4.221387616919298,8.0462530490247115,4.2458769425084855,1.9052614928194465,2.850454330917391
1,2021,1,50,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,2077.053965581457,46401.11677477143,71.31876902880396,9.760249199441462,6.71572676171804,9.650799967621317,0.827240915040644,4.352792367536226,0.16104485668005628,2.424555255646504,3.8552163140464075,2.0891225776204245,1.6196519613487752,4.1839264679046035,8.140046621900504,4.308924407474892,1.399074667259193,2.291267861734952
1,2021,1,52,21,0,F20_F21,0,0,0,0,0,0,0,0,0,0,0,1931.6839287515809,37370.0030904695,68.12165217237443,10.11148051104274,7.066958073319318,10.29043628577068,0.827240915040644,4.404645761202732,0.5497569334545708,2.0877772165875146,3.750488399790203,2.4489402453786573,2.2583590187883296,4.092660633470806,8.197055249449765,4.268397969556407,1.5225421120011755,2.218826848216353
